incident_id,full_legal_name,sex,home_address_blocklevel,home_neighborhood,home_zip,phone_number,incident_date,incident_time,incident_time_of_day,location,incident_city,police_agency,incident_category,resolution,incident_description,injury_severity,injury_body_part,witnesses_count,body_worn_camera,transported_to,ems_agency,alcohol_or_drugs_suspected,collision_type,driver_at_fault,insurance_info,cad_event_id,officer_badge,victim_age
2025-F-563452,Jenny Lin,F,"1800 block of Grimmer Blvd, Fremont, CA 94538",Warm Springs,94539,(510) 555-0177,2025-09-11,13:50,Afternoon,"Grimmer Blvd & Automall Pkwy, Fremont, CA 94536",Fremont,Fremont PD,Traffic Collision - Vehicle vs Vehicle,Civil Matter,"Traffic Collision - Vehicle vs Vehicle reported at Grimmer Blvd & Automall Pkwy, Fremont, CA 94536. She sustained minor injury to the face. Body-worn camera available.",Minor,face,4,Yes,,,No,Loss of control,No,Provided - Other party carrier: GEICO; Coverage: Full coverage; Policy: 315-57XX-8100 (masked); Claim#: CLM787197,CAD369989177,57783,22
2025-DC-852256,Bao Pham,M,"800 block of Mission St, Daly City, CA 94015",Top of the Hill,94015,(650) 555-0159,2025-09-05,16:45,Afternoon,"Mission St & John Daly Blvd, Daly City, CA 94015",Daly City,Daly City PD,Assault - Aggravated,"Arrest, Booked","Assault - Aggravated occurred at Mission St & John Daly Blvd, Daly City, CA 94015. He sustained minor injury to the arm. Body-worn camera not available.",Minor,arm,2,Yes,,,No,,,Provided - Claimant carrier: GEICO; Coverage: Commercial policy; Policy: 414-33XX-9967 (masked); Claim#: CLM908458,CAD161185585,21173,80
2025-RC-383516,Andrew Young,M,"1600 block of Jefferson Ave, Redwood City, CA 94063",Redwood Oaks,94063,(650) 555-0153,2025-09-04,09:40,Morning,"Broadway & El Camino Real, Redwood City, CA 94061",Redwood City,RWC PD,Bicycle Collision - Solo,Citation Issued,"Bicycle Collision - Solo reported at Broadway & El Camino Real, Redwood City, CA 94061. He sustained minor injury to the hip. Body-worn camera not available.",Minor,hip,1,Yes,,,No,T-bone,Undetermined,Provided - Claimant carrier: AAA (CSAA); Coverage: Liability only; Policy: 798-89XX-5866 (masked); Claim#: CLM935109,CAD345571330,87124,47
2025-DC-250006,Amit Nair,M,"700 block of Gellert Blvd, Daly City, CA 94014",Westlake,94015,(650) 555-0188,2025-09-08,14:20,Afternoon,"Mission St & Serramonte Blvd, Daly City, CA 94014",Daly City,Daly City PD,DUI Related Collision,Report Taken,"DUI Related Collision reported at Mission St & Serramonte Blvd, Daly City, CA 94014. He sustained severe injury to the chest. Transported to UCSF Parnassus by AMR. Body-worn camera available.",Severe,chest,0,Yes,UCSF Parnassus,AMR,Yes,Loss of control,Yes,Provided - Claimant carrier: Mercury; Coverage: Commercial policy; Policy: 965-39XX-3783 (masked); Claim#: CLM948887,CAD879662423,93515,64
2025-SJ-725686,Carlos Martinez,M,"1000 block of Santa Clara St, San Jose, CA 95132",Willow Glen,95116,(408) 555-0160,2025-09-16,06:15,Morning,"Story Rd & Stevens Creek Blvd, San Jose, CA 95116",San Jose,SJPD,Traffic Collision - Vehicle vs Bicycle,Unfounded,"Traffic Collision - Vehicle vs Bicycle reported at Story Rd & Stevens Creek Blvd, San Jose, CA 95116. He sustained minor injury to the ankle. Body-worn camera available.",Minor,ankle,1,Yes,,,No,Right hook,No,Provided - Other party carrier: Progressive; Coverage: Commercial policy; Policy: 889-76XX-5463 (masked); Claim#: CLM100691,CAD503975251,48889,54
2025-B-875950,Ashley Allen,F,"1800 block of Shattuck Ave, Berkeley, CA 94704",Elmwood,94703,(510) 555-0144,2025-09-04,10:55,Morning,"Ashby Ave & University Ave, Berkeley, CA 94703",Berkeley,BPD,Construction Site Accident,Open or Active Investigation,"Construction Site Accident occurred at Ashby Ave & University Ave, Berkeley, CA 94703. She sustained moderate injury to the neck. Transported to UCSF Parnassus by AMR. Body-worn camera available.",Moderate,neck,0,Yes,UCSF Parnassus,AMR,No,,,Provided - Claimant carrier: AAA (CSAA); Coverage: Non-owner policy; Policy: 609-31XX-6548 (masked); Claim#: CLM298751,CAD234478510,84919,22
2025-SJ-563754,Victor Guo,M,"1500 block of Santa Clara St, San Jose, CA 95116",Cambrian,95123,(669) 555-0154,2025-08-30,19:30,Evening,"Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95112",San Jose,SJPD,Bicycle Collision - Solo,"Arrest, Booked","Bicycle Collision - Solo reported at Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95112. He sustained minor injury to the chest. Body-worn camera not available.",Minor,chest,1,No,,,No,Left turn,Yes,Provided - Claimant carrier: Farmers; Coverage: Commercial policy; Policy: 951-73XX-1715 (masked); Claim#: CLM341201,CAD371001512,76335,48
2025-H-496660,Daniela Rodriguez,F,"700 block of Tennyson Rd, Hayward, CA 94541",Harder-Tennyson,94541,(510) 555-0100,2025-09-01,18:25,Evening,"A St & Hesperian Blvd, Hayward, CA 94544",Hayward,HPD,Hit and Run,Report Taken,"Hit and Run reported at A St & Hesperian Blvd, Hayward, CA 94544. She sustained severe injury to the ankle. Transported to Kaiser Oakland by SFFD EMS. Body-worn camera available.",Severe,ankle,1,Yes,Kaiser Oakland,SFFD EMS,No,,Undetermined,Provided - Claimant carrier: USAA; Coverage: Commercial policy; Policy: 789-22XX-3263 (masked); Claim#: CLM530597,CAD344366314,26932,26
2025-F-177796,William Young,M,"400 block of Mowry Ave, Fremont, CA 94539",Warm Springs,94536,(510) 555-0138,2025-09-15,02:55,Night,"Automall Pkwy & Mowry Ave, Fremont, CA 94536",Fremont,Fremont PD,Transit Incident - Muni,Report Taken,"Transit Incident - Muni reported at Automall Pkwy & Mowry Ave, Fremont, CA 94536. He sustained minor injury to the neck. Body-worn camera available.",Minor,neck,1,Yes,,,No,,,Unknown,CAD894968162,93676,46
2025-DC-905033,Michelle Wang,F,"300 block of Gellert Blvd, Daly City, CA 94015",Serramonte,94014,(650) 555-0163,2025-09-14,04:10,Night,"John Daly Blvd & Gellert Blvd, Daly City, CA 94014",Daly City,Daly City PD,Bicycle Collision - Solo,"Arrest, Booked","Bicycle Collision - Solo reported at John Daly Blvd & Gellert Blvd, Daly City, CA 94014. She sustained severe injury to the shoulder. Transported to San Mateo Medical Center by AMR. Body-worn camera not available.",Severe,shoulder,0,Yes,San Mateo Medical Center,AMR,No,Rear-end,Yes,Not applicable (non-vehicle incident),CAD954236712,81228,40
2025-B-470976,Paula Garcia,F,"600 block of Ashby Ave, Berkeley, CA 94703",West Berkeley,94710,(510) 555-0143,2025-08-28,01:40,Night,"San Pablo Ave & University Ave, Berkeley, CA 94703",Berkeley,BPD,Hit and Run,Report Taken,"Hit and Run reported at San Pablo Ave & University Ave, Berkeley, CA 94703. She sustained moderate injury to the wrist. Transported to San Mateo Medical Center by AMR. Body-worn camera not available.",Moderate,wrist,4,No,San Mateo Medical Center,AMR,No,,Undetermined,Provided - Claimant carrier: Mercury; Coverage: Rideshare TNC coverage; Policy: 808-32XX-4579 (masked); Claim#: CLM144971,CAD415313370,61698,36
2025-RC-311755,Ashley Harris,F,"100 block of Broadway, Redwood City, CA 94061",Palm Park,94061,(650) 555-0173,2025-09-03,03:10,Night,"Broadway & El Camino Real, Redwood City, CA 94063",Redwood City,RWC PD,Traffic Collision - Vehicle vs Bicycle,Report Taken,"Traffic Collision - Vehicle vs Bicycle reported at Broadway & El Camino Real, Redwood City, CA 94063. She sustained minor injury to the shoulder. Body-worn camera not available.",Minor,shoulder,1,Yes,,,No,Rear-end,No,Provided - Claimant carrier: Liberty Mutual; Coverage: Full coverage; Policy: 298-80XX-5539 (masked); Claim#: CLM960884,CAD669456281,97787,61
2025-O-585937,David Walker,M,"1600 block of MacArthur Blvd, Oakland, CA 94606",Fruitvale,94610,(510) 555-0199,2025-09-25,16:30,Afternoon,"San Pablo Ave & Broadway, Oakland, CA 94612",Oakland,OPD,Traffic Collision - Vehicle vs Bicycle,Report Taken,"Traffic Collision - Vehicle vs Bicycle reported at San Pablo Ave & Broadway, Oakland, CA 94612. He sustained severe injury to the neck. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera not available.",Severe,neck,1,Yes,Zuckerberg San Francisco General Hospital,AMR,No,T-bone,Undetermined,Declined,CAD499206487,83379,60
2025-RC-292871,Darnell Harris,M,"1800 block of Woodside Rd, Redwood City, CA 94063",Downtown,94063,(650) 555-0105,2025-09-19,22:30,Evening,"Broadway & Jefferson Ave, Redwood City, CA 94061",Redwood City,RWC PD,Assault - Aggravated,Report Taken,"Assault - Aggravated occurred at Broadway & Jefferson Ave, Redwood City, CA 94061. He sustained moderate injury to the wrist. Transported to Zuckerberg San Francisco General Hospital by Falck. Body-worn camera not available.",Moderate,wrist,2,Yes,Zuckerberg San Francisco General Hospital,Falck,No,,,Provided - Other party carrier: Allstate; Coverage: Full coverage; Policy: 964-97XX-6430 (masked); Claim#: CLM661877,CAD227655335,39293,27
2025-SF-407623,Malik Robinson,M,"600 block of 3rd St, San Francisco, CA 94108",SoMa,94109,(415) 555-0142,2025-09-10,13:10,Afternoon,"Polk St & Irving St, San Francisco, CA 94107",San Francisco,SFPD,Rideshare Incident (Uber/Lyft),Open or Active Investigation,"Rideshare Incident (Uber/Lyft) reported at Polk St & Irving St, San Francisco, CA 94107. He sustained moderate injury to the hand. Transported to San Mateo Medical Center by AMR. Body-worn camera not available.",Moderate,hand,1,Yes,San Mateo Medical Center,AMR,No,,,Declined,CAD732304299,5512,46
2025-DC-657253,Angelo Dela Cruz,M,"800 block of Serramonte Blvd, Daly City, CA 94014",Westlake,94015,(650) 555-0154,2025-09-21,17:15,Afternoon,"John Daly Blvd & Mission St, Daly City, CA 94014",Daly City,Daly City PD,Construction Site Accident,Open or Active Investigation,"Construction Site Accident occurred at John Daly Blvd & Mission St, Daly City, CA 94014. He sustained minor injury to the wrist. Body-worn camera not available.",Minor,wrist,1,Yes,,,No,,,Provided - Claimant carrier: AAA (CSAA); Coverage: Non-owner policy; Policy: 859-89XX-8289 (masked); Claim#: CLM677180,CAD177572195,88463,24
2025-DC-553006,Katrina Flores,F,"600 block of Gellert Blvd, Daly City, CA 94015",Serramonte,94014,(650) 555-0141,2025-09-08,20:10,Evening,"John Daly Blvd & Serramonte Blvd, Daly City, CA 94015",Daly City,Daly City PD,Transit Incident - Muni,Report Taken,"Transit Incident - Muni reported at John Daly Blvd & Serramonte Blvd, Daly City, CA 94015. She sustained severe injury to the leg. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera available.",Severe,leg,0,Yes,Zuckerberg San Francisco General Hospital,AMR,No,,,Provided - Other party carrier: AAA (CSAA); Coverage: Full coverage; Policy: 708-71XX-7871 (masked); Claim#: CLM372959,CAD466493523,19586,25
2025-SJ-648678,Christopher Moore,M,"700 block of Monterey Rd, San Jose, CA 95126",Willow Glen,95128,(408) 555-0122,2025-08-28,00:05,Night,"Almaden Blvd & Stevens Creek Blvd, San Jose, CA 95126",San Jose,SJPD,DUI Related Collision,Report Taken,"DUI Related Collision reported at Almaden Blvd & Stevens Creek Blvd, San Jose, CA 95126. He sustained severe injury to the face. Transported to UCSF Parnassus by AMR. Body-worn camera not available.",Severe,face,1,Yes,UCSF Parnassus,AMR,Yes,Dooring,Undetermined,No proof of insurance provided,CAD271725352,44147,38
2025-RC-503170,Keisha Brown,F,"1100 block of Broadway, Redwood City, CA 94063",Palm Park,94061,(650) 555-0142,2025-09-03,01:55,Night,"Jefferson Ave & Broadway, Redwood City, CA 94063",Redwood City,RWC PD,Assault - Aggravated,Citation Issued,"Assault - Aggravated occurred at Jefferson Ave & Broadway, Redwood City, CA 94063. She sustained moderate injury to the shoulder. Transported to UCSF Parnassus by Falck. Body-worn camera available.",Moderate,shoulder,2,Yes,UCSF Parnassus,Falck,No,,,Unknown,CAD734384817,48349,67
2025-DC-107586,Francis Santos,M,"400 block of Mission St, Daly City, CA 94014",Top of the Hill,94014,(650) 555-0123,2025-09-01,11:50,Morning,"Gellert Blvd & Serramonte Blvd, Daly City, CA 94014",Daly City,Daly City PD,Hit and Run,Open or Active Investigation,"Hit and Run reported at Gellert Blvd & Serramonte Blvd, Daly City, CA 94014. He sustained moderate injury to the chest. Transported to Kaiser Oakland by Falck. Body-worn camera not available.",Moderate,chest,1,Yes,Kaiser Oakland,Falck,No,,Undetermined,Provided - Other party carrier: GEICO; Coverage: Full coverage; Policy: 670-33XX-2750 (masked); Claim#: CLM804363,CAD342387826,56972,57
2025-H-707206,Jose Martinez,M,"1300 block of Hesperian Blvd, Hayward, CA 94544",Southgate,94544,(510) 555-0141,2025-09-22,16:05,Afternoon,"Tennyson Rd & Hesperian Blvd, Hayward, CA 94545",Hayward,HPD,Rideshare Incident (Uber/Lyft),Citation Issued,"Rideshare Incident (Uber/Lyft) reported at Tennyson Rd & Hesperian Blvd, Hayward, CA 94545. He sustained minor injury to the hip. Body-worn camera available.",Minor,hip,2,Yes,,,No,,,Provided - Other party carrier: Allstate; Coverage: Rideshare TNC coverage; Policy: 486-84XX-8128 (masked); Claim#: CLM519574,CAD909317995,71243,34
2025-SF-632662,Michael Walker,M,"1100 block of Irving St, San Francisco, CA 94117",Richmond,94107,(415) 555-0174,2025-08-28,00:50,Night,"16th St & Folsom St, San Francisco, CA 94122",San Francisco,SFPD,Transit Incident - BART,Open or Active Investigation,"Transit Incident - BART reported at 16th St & Folsom St, San Francisco, CA 94122. He sustained minor injury to the chest. Body-worn camera available.",Minor,chest,1,Yes,,,No,,,Provided - Claimant carrier: GEICO; Coverage: Commercial policy; Policy: 991-51XX-7112 (masked); Claim#: CLM406093,CAD144408698,21392,40
2025-RC-410598,Matthew Young,M,"800 block of Woodside Rd, Redwood City, CA 94061",Redwood Oaks,94061,(650) 555-0142,2025-09-08,23:45,Evening,"Jefferson Ave & El Camino Real, Redwood City, CA 94061",Redwood City,RWC PD,Bicycle Collision - Solo,Civil Matter,"Bicycle Collision - Solo reported at Jefferson Ave & El Camino Real, Redwood City, CA 94061. He sustained severe injury to the shoulder. Transported to Stanford Hospital by SFFD EMS. Body-worn camera available.",Severe,shoulder,2,Yes,Stanford Hospital,SFFD EMS,No,Head-on,Undetermined,Provided - Claimant carrier: Mercury; Coverage: Full coverage; Policy: 369-59XX-7065 (masked); Claim#: CLM697833,CAD131937925,54916,58
2025-SF-447727,Andrew Young,M,"300 block of Van Ness Ave, San Francisco, CA 94122",Mission,94124,(628) 555-0111,2025-08-28,07:00,Morning,"Polk St & 24th St, San Francisco, CA 94108",San Francisco,SFPD,DUI Related Collision,Report Taken,"DUI Related Collision reported at Polk St & 24th St, San Francisco, CA 94108. He sustained minor injury to the head. Body-worn camera available.",Minor,head,2,Yes,,,Yes,Left turn,Yes,Provided - Other party carrier: GEICO; Coverage: Commercial policy; Policy: 482-32XX-2052 (masked); Claim#: CLM980015,CAD742033944,54238,78
