incident_id,full_name,sex,home_address,phone_number,incident_date,incident_time,location,incident_category,resolution,injury_reported,property_damage,fault_determination,incident_description
2025-F-563452,Jenny Lin,F,"1800 block of Grimmer Blvd, Fremont, CA 94538",(510) 555-0177,2025-09-11,13:50,"Grimmer Blvd & Automall Pkwy, Fremont, CA 94536",Traffic Collision - Vehicle vs Vehicle,Civil Matter,Yes,Yes,No,"Traffic Collision - Vehicle vs Vehicle reported at Grimmer Blvd & Automall Pkwy, Fremont, CA 94536. She sustained minor injury to the face. Body-worn camera available."
2025-DC-852256,Bao Pham,M,"800 block of Mission St, Daly City, CA 94015",(650) 555-0159,2025-09-05,16:45,"Mission St & John Daly Blvd, Daly City, CA 94015",Assault - Aggravated,"Arrest, Booked",Yes,No,Undetermined,"Assault - Aggravated occurred at Mission St & John Daly Blvd, Daly City, CA 94015. He sustained minor injury to the arm. Body-worn camera not available."
2025-RC-383516,Andrew Young,M,"1600 block of Jefferson Ave, Redwood City, CA 94063",(650) 555-0153,2025-09-04,09:40,"Broadway & El Camino Real, Redwood City, CA 94061",Bicycle Collision - Solo,Citation Issued,Yes,Yes,Undetermined,"Bicycle Collision - Solo reported at Broadway & El Camino Real, Redwood City, CA 94061. He sustained minor injury to the hip. Body-worn camera not available."
2025-DC-250006,Amit Nair,M,"700 block of Gellert Blvd, Daly City, CA 94014",(650) 555-0188,2025-09-08,14:20,"Mission St & Serramonte Blvd, Daly City, CA 94014",DUI Related Collision,Report Taken,Yes,Yes,Yes,"DUI Related Collision reported at Mission St & Serramonte Blvd, Daly City, CA 94014. He sustained severe injury to the chest. Transported to UCSF Parnassus by AMR. Body-worn camera available."
2025-SJ-725686,Carlos Martinez,M,"1000 block of Santa Clara St, San Jose, CA 95132",(408) 555-0160,2025-09-16,06:15,"Story Rd & Stevens Creek Blvd, San Jose, CA 95116",Traffic Collision - Vehicle vs Bicycle,Unfounded,Yes,Yes,No,"Traffic Collision - Vehicle vs Bicycle reported at Story Rd & Stevens Creek Blvd, San Jose, CA 95116. He sustained minor injury to the ankle. Body-worn camera available."
2025-B-875950,Ashley Allen,F,"1800 block of Shattuck Ave, Berkeley, CA 94704",(510) 555-0144,2025-09-04,10:55,"Ashby Ave & University Ave, Berkeley, CA 94703",Construction Site Accident,Open or Active Investigation,Yes,No,Undetermined,"Construction Site Accident occurred at Ashby Ave & University Ave, Berkeley, CA 94703. She sustained moderate injury to the neck. Transported to UCSF Parnassus by AMR. Body-worn camera available."
2025-SJ-563754,Victor Guo,M,"1500 block of Santa Clara St, San Jose, CA 95116",(669) 555-0154,2025-08-30,19:30,"Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95112",Bicycle Collision - Solo,"Arrest, Booked",Yes,Yes,Yes,"Bicycle Collision - Solo reported at Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95112. He sustained minor injury to the chest. Body-worn camera not available."
2025-H-496660,Daniela Rodriguez,F,"700 block of Tennyson Rd, Hayward, CA 94541",(510) 555-0100,2025-09-01,18:25,"A St & Hesperian Blvd, Hayward, CA 94544",Hit and Run,Report Taken,Yes,Yes,Undetermined,"Hit and Run reported at A St & Hesperian Blvd, Hayward, CA 94544. She sustained severe injury to the ankle. Transported to Kaiser Oakland by SFFD EMS. Body-worn camera available."
2025-F-177796,William Young,M,"400 block of Mowry Ave, Fremont, CA 94539",(510) 555-0138,2025-09-15,02:55,"Automall Pkwy & Mowry Ave, Fremont, CA 94536",Transit Incident - Muni,Report Taken,Yes,No,Undetermined,"Transit Incident - Muni reported at Automall Pkwy & Mowry Ave, Fremont, CA 94536. He sustained minor injury to the neck. Body-worn camera available."
2025-DC-905033,Michelle Wang,F,"300 block of Gellert Blvd, Daly City, CA 94015",(650) 555-0163,2025-09-14,04:10,"John Daly Blvd & Gellert Blvd, Daly City, CA 94014",Bicycle Collision - Solo,"Arrest, Booked",Yes,Yes,Yes,"Bicycle Collision - Solo reported at John Daly Blvd & Gellert Blvd, Daly City, CA 94014. She sustained severe injury to the shoulder. Transported to San Mateo Medical Center by AMR. Body-worn camera not available."
2025-B-470976,Paula Garcia,F,"600 block of Ashby Ave, Berkeley, CA 94703",(510) 555-0143,2025-08-28,01:40,"San Pablo Ave & University Ave, Berkeley, CA 94703",Hit and Run,Report Taken,Yes,Yes,Undetermined,"Hit and Run reported at San Pablo Ave & University Ave, Berkeley, CA 94703. She sustained moderate injury to the wrist. Transported to San Mateo Medical Center by AMR. Body-worn camera not available."
2025-RC-311755,Ashley Harris,F,"100 block of Broadway, Redwood City, CA 94061",(650) 555-0173,2025-09-03,03:10,"Broadway & El Camino Real, Redwood City, CA 94063",Traffic Collision - Vehicle vs Bicycle,Report Taken,Yes,Yes,No,"Traffic Collision - Vehicle vs Bicycle reported at Broadway & El Camino Real, Redwood City, CA 94063. She sustained minor injury to the shoulder. Body-worn camera not available."
2025-O-585937,David Walker,M,"1600 block of MacArthur Blvd, Oakland, CA 94606",(510) 555-0199,2025-09-25,16:30,"San Pablo Ave & Broadway, Oakland, CA 94612",Traffic Collision - Vehicle vs Bicycle,Report Taken,Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Bicycle reported at San Pablo Ave & Broadway, Oakland, CA 94612. He sustained severe injury to the neck. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera not available."
2025-RC-292871,Darnell Harris,M,"1800 block of Woodside Rd, Redwood City, CA 94063",(650) 555-0105,2025-09-19,22:30,"Broadway & Jefferson Ave, Redwood City, CA 94061",Assault - Aggravated,Report Taken,Yes,No,Undetermined,"Assault - Aggravated occurred at Broadway & Jefferson Ave, Redwood City, CA 94061. He sustained moderate injury to the wrist. Transported to Zuckerberg San Francisco General Hospital by Falck. Body-worn camera not available."
2025-SF-407623,Malik Robinson,M,"600 block of 3rd St, San Francisco, CA 94108",(415) 555-0142,2025-09-10,13:10,"Polk St & Irving St, San Francisco, CA 94107",Rideshare Incident (Uber/Lyft),Open or Active Investigation,Yes,No,Undetermined,"Rideshare Incident (Uber/Lyft) reported at Polk St & Irving St, San Francisco, CA 94107. He sustained moderate injury to the hand. Transported to San Mateo Medical Center by AMR. Body-worn camera not available."
2025-DC-657253,Angelo Dela Cruz,M,"800 block of Serramonte Blvd, Daly City, CA 94014",(650) 555-0154,2025-09-21,17:15,"John Daly Blvd & Mission St, Daly City, CA 94014",Construction Site Accident,Open or Active Investigation,Yes,No,Undetermined,"Construction Site Accident occurred at John Daly Blvd & Mission St, Daly City, CA 94014. He sustained minor injury to the wrist. Body-worn camera not available."
2025-DC-553006,Katrina Flores,F,"600 block of Gellert Blvd, Daly City, CA 94015",(650) 555-0141,2025-09-08,20:10,"John Daly Blvd & Serramonte Blvd, Daly City, CA 94015",Transit Incident - Muni,Report Taken,Yes,No,Undetermined,"Transit Incident - Muni reported at John Daly Blvd & Serramonte Blvd, Daly City, CA 94015. She sustained severe injury to the leg. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera available."
2025-SJ-648678,Christopher Moore,M,"700 block of Monterey Rd, San Jose, CA 95126",(408) 555-0122,2025-08-28,00:05,"Almaden Blvd & Stevens Creek Blvd, San Jose, CA 95126",DUI Related Collision,Report Taken,Yes,Yes,Undetermined,"DUI Related Collision reported at Almaden Blvd & Stevens Creek Blvd, San Jose, CA 95126. He sustained severe injury to the face. Transported to UCSF Parnassus by AMR. Body-worn camera not available."
2025-RC-503170,Keisha Brown,F,"1100 block of Broadway, Redwood City, CA 94063",(650) 555-0142,2025-09-03,01:55,"Jefferson Ave & Broadway, Redwood City, CA 94063",Assault - Aggravated,Citation Issued,Yes,No,Undetermined,"Assault - Aggravated occurred at Jefferson Ave & Broadway, Redwood City, CA 94063. She sustained moderate injury to the shoulder. Transported to UCSF Parnassus by Falck. Body-worn camera available."
2025-DC-107586,Francis Santos,M,"400 block of Mission St, Daly City, CA 94014",(650) 555-0123,2025-09-01,11:50,"Gellert Blvd & Serramonte Blvd, Daly City, CA 94014",Hit and Run,Open or Active Investigation,Yes,Yes,Undetermined,"Hit and Run reported at Gellert Blvd & Serramonte Blvd, Daly City, CA 94014. He sustained moderate injury to the chest. Transported to Kaiser Oakland by Falck. Body-worn camera not available."
2025-H-707206,Jose Martinez,M,"1300 block of Hesperian Blvd, Hayward, CA 94544",(510) 555-0141,2025-09-22,16:05,"Tennyson Rd & Hesperian Blvd, Hayward, CA 94545",Rideshare Incident (Uber/Lyft),Citation Issued,Yes,No,Undetermined,"Rideshare Incident (Uber/Lyft) reported at Tennyson Rd & Hesperian Blvd, Hayward, CA 94545. He sustained minor injury to the hip. Body-worn camera available."
2025-SF-632662,Michael Walker,M,"1100 block of Irving St, San Francisco, CA 94117",(415) 555-0174,2025-08-28,00:50,"16th St & Folsom St, San Francisco, CA 94122",Transit Incident - BART,Open or Active Investigation,Yes,No,Undetermined,"Transit Incident - BART reported at 16th St & Folsom St, San Francisco, CA 94122. He sustained minor injury to the chest. Body-worn camera available."
2025-RC-410598,Matthew Young,M,"800 block of Woodside Rd, Redwood City, CA 94061",(650) 555-0142,2025-09-08,23:45,"Jefferson Ave & El Camino Real, Redwood City, CA 94061",Bicycle Collision - Solo,Civil Matter,Yes,Yes,Undetermined,"Bicycle Collision - Solo reported at Jefferson Ave & El Camino Real, Redwood City, CA 94061. He sustained severe injury to the shoulder. Transported to Stanford Hospital by SFFD EMS. Body-worn camera available."
2025-SF-447727,Andrew Young,M,"300 block of Van Ness Ave, San Francisco, CA 94122",(628) 555-0111,2025-08-28,07:00,"Polk St & 24th St, San Francisco, CA 94108",DUI Related Collision,Report Taken,Yes,Yes,Yes,"DUI Related Collision reported at Polk St & 24th St, San Francisco, CA 94108. He sustained minor injury to the head. Body-worn camera available."
2025-DC-189429,Isabella Hernandez,F,"600 block of Mission St, Daly City, CA 94014",(650) 555-0121,2025-09-10,17:10,"Mission St & John Daly Blvd, Daly City, CA 94014",Traffic Collision - Vehicle vs Bicycle,Report Taken,Yes,Yes,Yes,"Traffic Collision - Vehicle vs Bicycle reported at Mission St & John Daly Blvd, Daly City, CA 94014. She sustained moderate injury to the leg. Transported to Stanford Hospital by Falck. Body-worn camera available."
2025-DC-122840,Grace Zheng,F,"1500 block of John Daly Blvd, Daly City, CA 94014",(650) 555-0123,2025-09-08,18:00,"Serramonte Blvd & Gellert Blvd, Daly City, CA 94015",E-Scooter Collision,"Arrest, Booked",Yes,Yes,Undetermined,"E-Scooter Collision reported at Serramonte Blvd & Gellert Blvd, Daly City, CA 94015. She sustained severe injury to the hip. Transported to Santa Clara Valley Medical Center by AMR. Body-worn camera available."
2025-RC-473529,Robert Davis,M,"700 block of Jefferson Ave, Redwood City, CA 94063",(650) 555-0115,2025-09-22,17:10,"Woodside Rd & El Camino Real, Redwood City, CA 94061",DUI Related Collision,Open or Active Investigation,Yes,Yes,Yes,"DUI Related Collision reported at Woodside Rd & El Camino Real, Redwood City, CA 94061. He sustained severe injury to the head. Transported to Highland Hospital (Oakland) by AMR. Body-worn camera available."
2025-O-893615,Linh Hoang,F,"1800 block of San Pablo Ave, Oakland, CA 94607",(510) 555-0117,2025-09-24,00:10,"International Blvd & Telegraph Ave, Oakland, CA 94609",Construction Site Accident,Citation Issued,Yes,No,Undetermined,"Construction Site Accident occurred at International Blvd & Telegraph Ave, Oakland, CA 94609. She sustained moderate injury to the face. Transported to Stanford Hospital by Rural/Metro. Body-worn camera available."
2025-DC-524919,Emily Johnson,F,"200 block of Serramonte Blvd, Daly City, CA 94015",(650) 555-0186,2025-09-20,01:05,"Gellert Blvd & John Daly Blvd, Daly City, CA 94015",Dog Bite,"Arrest, Booked",Yes,No,Undetermined,"Dog Bite occurred at Gellert Blvd & John Daly Blvd, Daly City, CA 94015. She sustained severe injury to the hip. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera available."
