incident_id,full_name,sex,home_address,phone_number,incident_date,incident_time,location,incident_category,resolution,injury_reported,property_damage,fault_determination,incident_description
SF-2024-001234,Maria Rodriguez,F,1847 Mission Street San Francisco CA 94103,415-555-0101,2024-01-15,14:35,19th St & Valencia St,Vehicle Collision,Report Taken,Yes,Yes,Other Party,Two vehicle collision at intersection. Victim's vehicle struck by driver who ran red light. Complainant transported to SF General with neck and back pain.
SF-2024-001235,James Chen,M,3421 Geary Blvd San Francisco CA 94118,415-555-0102,2024-01-15,09:20,580 Market Street,Slip and Fall,Report Taken,Yes,No,Property Owner,Complainant slipped on wet floor in building lobby. No wet floor signs posted. Security footage requested. Ankle injury reported.
SJ-2024-004567,Priya Patel,F,2156 The Alameda San Jose CA 95126,408-555-0103,2024-01-16,18:45,Highway 101 & Story Rd,Vehicle Collision,CHP Transfer,Yes,Yes,Under Investigation,Multi-vehicle collision on highway. Complainant rear-ended during traffic slowdown. Possible concussion symptoms noted.
SF-2024-001236,Michael Johnson,M,876 Lombard Street San Francisco CA 94133,415-555-0104,2024-01-16,11:30,Embarcadero & Broadway,Bicycle vs Vehicle,Report Taken,Yes,Yes,Vehicle Driver,Cyclist struck by vehicle making right turn. Driver failed to check blind spot. Complainant has road rash and possible fractured wrist.
SF-2024-001285,Lauren Mitchell,F,1325 Page Street San Francisco CA 94117,415-555-0201,2024-01-16,08:10,Octavia Blvd & Market St,Vehicle vs bicycles,Report Taken,Yes,Yes,Vehicle Driver,Driver drifted into bike lane during commute. Cyclist thrown over handlebars. Shoulder sprain and dental injuries.
OAK-2024-007891,Latasha Williams,F,4532 Telegraph Ave Oakland CA 94609,510-555-0105,2024-01-17,16:20,Lake Merritt BART Station,Trip and Fall,Report Taken,Yes,No,City Property,Complainant tripped on broken sidewalk near station entrance. Knee laceration and bruising documented. Photos taken of hazard.
SF-2024-001237,David Kim,M,1923 Fillmore Street San Francisco CA 94115,415-555-0106,2024-01-17,22:15,Bush St & Hyde St,Rideshare Accident,Report Taken,Yes,Yes,Rideshare Driver,Passenger in Uber vehicle when driver collided with parked car. Complainant hit head on window. Driver suspected of distracted driving.
SJ-2024-004568,Ana Garcia,F,5234 Alum Rock Ave San Jose CA 95127,408-555-0107,2024-01-18,07:45,I-280 & McLaughlin Ave,Vehicle Collision,Report Taken,Yes,Yes,Other Party,Complainant's vehicle sideswiped during lane change. Other driver no insurance. Whiplash symptoms reported.
SF-2024-001238,Robert Singh,M,2341 Ocean Avenue San Francisco CA 94112,415-555-0108,2024-01-18,13:00,Golden Gate Park,Dog Bite,Report Taken,Yes,No,Dog Owner,Unleashed dog bit complainant while jogging. Owner information collected. Puncture wounds to calf. Animal control notified.
SJ-2024-004592,Gabriel Alvarez,M,4510 Hillsdale Ave San Jose CA 95136,408-555-0202,2024-01-18,17:55,Monterey Rd & Curtner Ave,Vehicle vs bicycles,Report Taken,Yes,Yes,Vehicle Driver,Pickup truck turned across bike lane without signaling. Cyclist slid under fender. Pelvic pain and twisted frame.
BER-2024-003456,Jennifer Lee,F,1876 Shattuck Ave Berkeley CA 94709,510-555-0109,2024-01-19,10:30,UC Berkeley Campus,Slip and Fall,Report Taken,Yes,No,Under Investigation,Slipped on stairs after recent rain. Handrail loose. Complained of wrist pain and lower back discomfort.
SF-2024-001239,Hassan Mohamed,M,3456 Divisadero St San Francisco CA 94117,415-555-0110,2024-01-19,19:50,Van Ness & Market,Bus Accident,Report Taken,Yes,No,MUNI,Standing passenger fell when bus braked suddenly. Hit head on pole. Dizziness and headache reported. MUNI incident number provided.
SJ-2024-004569,Emily Thompson,F,7823 Meridian Ave San Jose CA 95120,408-555-0111,2024-01-20,12:15,Santana Row,Vehicle vs Pedestrian,Report Taken,Yes,Yes,Vehicle Driver,"Pedestrian struck in crosswalk. Driver failed to yield. Leg injury, unable to bear weight. Transported to Good Samaritan Hospital."
SF-2024-001240,Carlos Mendoza,M,4567 24th Street San Francisco CA 94114,415-555-0112,2024-01-20,08:30,16th St BART Station,Escalator Injury,Report Taken,Yes,No,BART,Shoelace caught in escalator causing fall. Multiple bruises and twisted ankle. BART maintenance logs requested.
OAK-2024-007892,Jasmine Davis,F,8934 International Blvd Oakland CA 94621,510-555-0113,2024-01-21,14:45,Fruitvale BART Parking,Vehicle Collision,Report Taken,Yes,Yes,Other Party,Hit and run in parking structure. Complainant was loading groceries when struck. Back injury. Surveillance footage available.
OAK-2024-007903,Danielle Brooks,F,9821 MacArthur Blvd Oakland CA 94605,510-555-0203,2024-01-21,08:40,MacArthur Blvd & 90th Ave,Vehicle vs bicycles,Report Taken,Yes,Yes,Vehicle Driver,Driver opened SUV door into cyclist in bike lane. Rider thrown to roadway. Wrist fracture suspected.
SF-2024-001241,William O'Brien,M,2345 Irving Street San Francisco CA 94122,415-555-0114,2024-01-21,17:30,19th Ave & Judah,MUNI Track Accident,Report Taken,Yes,Yes,Under Investigation,Vehicle stuck on MUNI tracks hit by streetcar. All occupants complained of neck pain. Major traffic disruption.
SJ-2024-004570,Sofia Gonzalez,F,6234 Santa Teresa Blvd San Jose CA 95119,408-555-0115,2024-01-22,11:00,Oakridge Mall,Slip and Fall,Report Taken,Yes,No,Property Owner,Slipped on spilled liquid in food court. No caution signs present. Tailbone and wrist injury. Mall security report filed.
SF-2024-001242,Anthony Russo,M,5678 Columbus Ave San Francisco CA 94133,415-555-0116,2024-01-22,20:15,Broadway & Kearny,Assault,Report Taken,Yes,No,Unknown Suspect,Pushed down stairs at club entrance. Suspect fled. Shoulder injury and facial lacerations. Witnesses identified.
FRE-2024-002345,Mei Wong,F,3421 Mowry Ave Fremont CA 94538,510-555-0117,2024-01-23,09:45,NewPark Mall,Store Injury,Report Taken,Yes,No,Store Owner,Heavy item fell from top shelf onto complainant. Head and shoulder injury. Store employee confirmed improper stacking.
SF-2024-001243,Kevin Nguyen,M,8765 Taraval Street San Francisco CA 94116,415-555-0118,2024-01-23,15:20,Great Highway & Sloat,Bicycle Accident,Report Taken,Yes,Yes,City Property,Hit pothole and thrown from bike. Road defect previously reported to city. Broken collarbone suspected.
SF-2024-001286,Ethan Wallace,M,2201 Powell Street San Francisco CA 94133,415-555-0204,2024-01-23,07:35,Columbus Ave & Lombard St,Vehicle vs bicycles,Report Taken,Yes,Yes,Vehicle Driver,Ride-share driver turned through bike lane on red. Cyclist pinned against curb. Shoulder dislocation reported.
SJ-2024-004571,Patricia Martinez,F,4532 Tully Road San Jose CA 95111,408-555-0119,2024-01-24,18:00,Highway 87 & Curtner,Vehicle Collision,CHP Transfer,Yes,Yes,Other Party,Rear-ended at high speed in stop-and-go traffic. Airbag deployment. Chest bruising and whiplash.
SF-2024-001244,Daniel Park,M,3214 Clement Street San Francisco CA 94121,415-555-0120,2024-01-24,13:30,Legion of Honor Museum,Trip and Fall,Report Taken,Yes,No,City Property,Tripped on uneven pathway. Knee and palm lacerations. Museum staff called ambulance.
OAK-2024-007893,Tiffany Jackson,F,7654 MacArthur Blvd Oakland CA 94605,510-555-0121,2024-01-25,16:45,580 & High Street,Vehicle Collision,CHP Transfer,Yes,Yes,Other Party,Side-swipe collision during merge. Other driver aggressive lane change. Neck and shoulder pain.
